Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
23/05/2024,"1,265.60","1,281.03","1,262.29","1,281.03",788341559,"25,469.00",0.05,"2,727,565.00",3.027,"39,065.26","18,868.71","2,348.2",76.87
22/05/2024,"1,280.26","1,283.06","1,263.87","1,266.91",933047509,"25,464.00",0.05,"2,727,565.00",2.959,"39,671.04","19,195.60","2,403.7",77.57
22/05/2024,"1,280.26","1,283.06","1,263.87","1,266.91",933047509,"25,464.00",0.05,"2,727,565.00",2.959,"39,671.04","19,195.60","2,403.7",77.57
21/05/2024,"1,277.85","1,281.29","1,267.29","1,277.14",790140189,"25,461.00",0.05,"2,727,565.00",2.852,"39,872.99","19,220.62","2,436.9",79.26
21/05/2024,"1,277.85","1,281.29","1,267.29","1,277.14",790140189,"25,461.00",0.05,"2,727,565.00",2.852,"39,872.99","19,220.62","2,436.9",79.26
20/05/2024,"1,281.50","1,285.19","1,277.36","1,277.58",900908384,"25,452.00",0.05,"2,727,565.00",2.868,"39,806.77","19,636.22","2,449.5",79.80
20/05/2024,"1,281.50","1,285.19","1,277.36","1,277.58",900908384,"25,452.00",0.05,"2,727,565.00",2.868,"39,806.77","19,636.22","2,449.5",79.80
17/05/2024,"1,270.34","1,274.27","1,266.32","1,273.11",788116698,"25,448.00",0.05,"2,727,565.00",2.857,"40,003.59","19,553.61","2,428.6",80.06
17/05/2024,"1,270.34","1,274.27","1,266.32","1,273.11",788116698,"25,448.00",0.05,"2,727,565.00",2.857,"40,003.59","19,553.61","2,428.6",80.06
16/05/2024,"1,264.51","1,271.66","1,261.19","1,268.78",754095204,"25,431.00",0.05,"2,727,565.00",2.865,"39,869.38","19,376.53","2,396.4",79.23
16/05/2024,"1,264.51","1,271.66","1,261.19","1,268.78",754095204,"25,431.00",0.05,"2,727,565.00",2.865,"39,869.38","19,376.53","2,396.4",79.23
15/05/2024,"1,248.61","1,257.92","1,248.02","1,254.39",704936160,"25,445.00",0.05,"2,727,565.00",2.878,"39,908.00","22,858.10","2,405.8",78.63
15/05/2024,"1,248.61","1,257.92","1,248.02","1,254.39",704936160,"25,445.00",0.05,"2,727,565.00",2.878,"39,908.00","22,858.10","2,405.8",78.63
14/05/2024,"1,246.23","1,252.52","1,240.88","1,243.28",476578584,"25,450.00",0.05,"2,727,565.00",2.877,"39,558.11","19,073.71","2,370.6",78.02
14/05/2024,"1,246.23","1,252.52","1,240.88","1,243.28",476578584,"25,450.00",0.05,"2,727,565.00",2.877,"39,558.11","19,073.71","2,370.6",78.02
13/05/2024,"1,248.19","1,249.20","1,233.56","1,240.18",593968870,"25,453.00",0.05,"2,727,565.00",2.878,"39,431.51","19,115.06","2,353.8",79.12
13/05/2024,"1,248.19","1,249.20","1,233.56","1,240.18",593968870,"25,453.00",0.05,"2,727,565.00",2.878,"39,431.51","19,115.06","2,353.8",79.12
10/05/2024,"1,251.78","1,252.50","1,237.46","1,244.70",556788658,"25,450.00",0.05,"2,727,565.00",2.862,"39,512.84","18,963.68","2,385.6",78.26
10/05/2024,"1,251.78","1,252.50","1,237.46","1,244.70",556788658,"25,450.00",0.05,"2,727,565.00",2.862,"39,512.84","18,963.68","2,385.6",78.26
09/05/2024,"1,252.81","1,256.80","1,243.29","1,248.64",591807969,"25,440.00",0.05,"2,727,565.00",2.875,"39,387.76","18,537.81","2,350.9",79.26
09/05/2024,"1,252.81","1,256.80","1,243.29","1,248.64",591807969,"25,440.00",0.05,"2,727,565.00",2.875,"39,387.76","18,537.81","2,350.9",79.26
08/05/2024,"1,243.61","1,251.62","1,234.76","1,250.46",770816040,"25,425.00",0.05,"2,727,565.00",2.884,"39,056.39","18,313.86","2,332.8",78.99
08/05/2024,"1,243.61","1,251.62","1,234.76","1,250.46",770816040,"25,425.00",0.05,"2,727,565.00",2.884,"39,056.39","18,313.86","2,332.8",78.99
07/05/2024,"1,245.50","1,250.63","1,240.09","1,248.63",550898676,"25,400.00",0.05,"2,727,565.00",2.875,"38,884.26","18,479.37","2,334.8",78.38
07/05/2024,"1,245.50","1,250.63","1,240.09","1,248.63",550898676,"25,400.00",0.05,"2,727,565.00",2.875,"38,884.26","18,479.37","2,334.8",78.38
06/05/2024,"1,226.89","1,241.58","1,224.22","1,241.58",625588584,"25,370.00",0.05,"2,727,565.00",2.881,"38,852.27","18,578.30","2,341.6",78.48
06/05/2024,"1,226.89","1,241.58","1,224.22","1,241.58",625588584,"25,370.00",0.05,"2,727,565.00",2.881,"38,852.27","18,578.30","2,341.6",78.48
03/05/2024,"1,222.54","1,225.75","1,218.33","1,221.03",524649967,"25,400.00",0.05,"2,727,565.00",2.924,"38,675.68","18,475.92","2,319.1",78.11
