Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
17/01/2019,183.56,184.30,182.46,182.47,9023893,"23,212.50",0.10,"1,116,680.00",4.933,"24,370.10","26,755.63","1,295.2",52.07
16/01/2019,184.67,185.51,183.19,183.19,10324819,"23,207.50",0.10,"1,116,680.00",4.952,"24,207.16","26,902.10","1,296.6",52.31
15/01/2019,182.18,185.10,179.87,184.57,13279400,"23,207.50",0.10,"1,116,680.00",4.996,"24,065.59","26,830.29","1,291.4",52.11
14/01/2019,182.63,184.27,182.03,182.42,15060500,"23,207.50",0.10,"1,116,680.00",4.988,"23,909.84","26,298.33","1,294.7",50.51
11/01/2019,182.21,183.75,182.21,182.52,12630600,"23,207.50",0.10,"1,116,680.00",5.000,"23,995.95","26,667.27","1,292.9",51.59
10/01/2019,183.67,184.31,181.80,182.27,13808900,"23,207.50",0.10,"1,116,680.00",5.022,"24,001.92","26,521.43","1,290.8",52.59
09/01/2019,182.52,184.46,182.41,183.55,17859400,"23,207.50",0.10,"1,116,680.00",5.115,"23,879.12","26,462.32","1,295.4",52.36
08/01/2019,186.07,186.07,181.80,182.15,13584500,"23,199.00",0.10,"1,116,680.00",5.046,"23,787.45","25,875.45","1,289.3",49.78
07/01/2019,180.58,183.77,180.26,183.54,13717100,"23,204.00",0.10,"1,116,680.00",5.159,"23,531.35","25,835.70","1,293.3",48.52
04/01/2019,179.78,181.55,176.62,180.49,17072200,"23,197.00",0.10,"1,116,680.00",5.167,"23,433.16","25,626.03","1,289.2",47.96
03/01/2019,179.49,182.92,178.35,179.55,13434300,"23,195.00",0.10,"1,116,680.00",5.167,"22,686.22","25,064.36","1,298.4",47.09
02/01/2019,185.98,186.80,181.70,182.20,13452662,"23,194.50",0.10,"1,116,680.00",5.171,"23,346.24","25,130.35","1,287.3",46.54
28/12/2018,186.51,188.22,184.96,185.61,15442647,"23,197.00",-0.25,"1,851,928.00",5.166,"23,062.40","25,504.20","1,286.1",45.33
27/12/2018,185.45,190.12,185.45,186.74,18859608,"23,198.00",-0.25,"1,851,928.00",5.160,"23,138.82","25,478.88","1,281.1",44.61
